2023-01-13T10:18:12.146850+0100	| INFO	| run_mission.py:run:44 	- Waiting for drone to connect...>
2023-01-13T10:18:12.156516+0100	| INFO	| run_mission.py:run:47 	- Connected to drone!>
2023-01-13T10:18:12.157949+0100	| INFO	| run_mission.py:run:50 	- Waiting for drone to have a global position estimate...>
2023-01-13T10:18:25.092411+0100	| INFO	| run_mission.py:run:53 	- Global position estimate OK>
2023-01-13T10:18:25.151349+0100	| INFO	| run_mission.py:run:61 	- Arming>
2023-01-13T10:18:25.232898+0100	| INFO	| run_mission.py:run:100 	- Uploading mission 0>
2023-01-13T10:18:25.237240+0100	| DEBUG	| run_mission.py:monitor_distance:162 	- Distance monitoring enabled>
2023-01-13T10:18:25.239904+0100	| DEBUG	| run_mission.py:do_mast_recognition:187 	- Mast recognition called>
2023-01-13T10:18:25.240296+0100	| DEBUG	| run_mission.py:do_mast_recognition:188 	- Has Found Mast: False>
2023-01-13T10:18:25.240441+0100	| DEBUG	| run_mission.py:do_mast_recognition:209 	- Mast recognition disabled while returning or taking off.>
2023-01-13T10:18:25.240754+0100	| DEBUG	| run_mission.py:monitor_altitude:176 	- Altitude monitoring enabled>
2023-01-13T10:18:25.677586+0100	| DEBUG	| run_mission.py:monitor_distance:164 	- Distance from sensor: DistanceSensor: [minimum_distance_m: 1.0, maximum_distance_m: 500.0, current_distance_m: 421.0]>
2023-01-13T10:18:26.145086+0100	| DEBUG	| run_mission.py:monitor_distance:164 	- Distance from sensor: DistanceSensor: [minimum_distance_m: 1.0, maximum_distance_m: 500.0, current_distance_m: 421.0]>
2023-01-13T10:18:26.266742+0100	| INFO	| run_mission.py:run:105 	- Starting mission>
2023-01-13T10:18:26.378510+0100	| INFO	| run_mission.py:run:108 	- Now checking mast F2542G at 10.554784917159, 55.3743128282325>
2023-01-13T10:18:26.531085+0100	| DEBUG	| run_mission.py:monitor_distance:164 	- Distance from sensor: DistanceSensor: [minimum_distance_m: 1.0, maximum_distance_m: 500.0, current_distance_m: 421.0]>
2023-01-13T10:18:26.615667+0100	| DEBUG	| run_mission.py:monitor_distance:164 	- Distance from sensor: DistanceSensor: [minimum_distance_m: 1.0, maximum_distance_m: 500.0, current_distance_m: 421.0]>
2023-01-13T10:18:26.898337+0100	| DEBUG	| run_mission.py:monitor_distance:164 	- Distance from sensor: DistanceSensor: [minimum_distance_m: 1.0, maximum_distance_m: 500.0, current_distance_m: 421.0]>
2023-01-13T10:18:27.267887+0100	| DEBUG	| run_mission.py:monitor_distance:164 	- Distance from sensor: DistanceSensor: [minimum_distance_m: 1.0, maximum_distance_m: 500.0, current_distance_m: 421.0]>
2023-01-13T10:18:27.370073+0100	| DEBUG	| run_mission.py:monitor_distance:164 	- Distance from sensor: DistanceSensor: [minimum_distance_m: 1.0, maximum_distance_m: 500.0, current_distance_m: 421.0]>
2023-01-13T10:18:27.671866+0100	| DEBUG	| run_mission.py:monitor_distance:164 	- Distance from sensor: DistanceSensor: [minimum_distance_m: 1.0, maximum_distance_m: 500.0, current_distance_m: 421.0]>
2023-01-13T10:18:28.444822+0100	| DEBUG	| run_mission.py:monitor_distance:164 	- Distance from sensor: DistanceSensor: [minimum_distance_m: 1.0, maximum_distance_m: 500.0, current_distance_m: 421.0]>
2023-01-13T10:18:28.822442+0100	| DEBUG	| run_mission.py:monitor_distance:164 	- Distance from sensor: DistanceSensor: [minimum_distance_m: 1.0, maximum_distance_m: 500.0, current_distance_m: 421.0]>
2023-01-13T10:18:29.198886+0100	| DEBUG	| run_mission.py:monitor_distance:164 	- Distance from sensor: DistanceSensor: [minimum_distance_m: 1.0, maximum_distance_m: 500.0, current_distance_m: 421.0]>
2023-01-13T10:18:29.474895+0100	| DEBUG	| run_mission.py:monitor_distance:164 	- Distance from sensor: DistanceSensor: [minimum_distance_m: 1.0, maximum_distance_m: 500.0, current_distance_m: 421.0]>
2023-01-13T10:18:29.577164+0100	| DEBUG	| run_mission.py:monitor_distance:164 	- Distance from sensor: DistanceSensor: [minimum_distance_m: 1.0, maximum_distance_m: 500.0, current_distance_m: 421.0]>
2023-01-13T10:18:30.241513+0100	| DEBUG	| run_mission.py:do_mast_recognition:209 	- Mast recognition disabled while returning or taking off.>
2023-01-13T10:18:30.257238+0100	| DEBUG	| run_mission.py:monitor_distance:164 	- Distance from sensor: DistanceSensor: [minimum_distance_m: 1.0, maximum_distance_m: 500.0, current_distance_m: 421.0]>
2023-01-13T10:18:30.522657+0100	| DEBUG	| run_mission.py:monitor_distance:164 	- Distance from sensor: DistanceSensor: [minimum_distance_m: 1.0, maximum_distance_m: 500.0, current_distance_m: 421.0]>
2023-01-13T10:18:30.899795+0100	| DEBUG	| run_mission.py:monitor_distance:164 	- Distance from sensor: DistanceSensor: [minimum_distance_m: 1.0, maximum_distance_m: 500.0, current_distance_m: 421.0]>
2023-01-13T10:18:31.192037+0100	| DEBUG	| run_mission.py:monitor_distance:164 	- Distance from sensor: DistanceSensor: [minimum_distance_m: 1.0, maximum_distance_m: 500.0, current_distance_m: 421.0]>
2023-01-13T10:18:32.459759+0100	| DEBUG	| run_mission.py:monitor_distance:164 	- Distance from sensor: DistanceSensor: [minimum_distance_m: 1.0, maximum_distance_m: 500.0, current_distance_m: 421.0]>
2023-01-13T10:18:32.864039+0100	| DEBUG	| run_mission.py:monitor_distance:164 	- Distance from sensor: DistanceSensor: [minimum_distance_m: 1.0, maximum_distance_m: 500.0, current_distance_m: 421.0]>
2023-01-13T10:18:33.357962+0100	| DEBUG	| run_mission.py:monitor_distance:164 	- Distance from sensor: DistanceSensor: [minimum_distance_m: 1.0, maximum_distance_m: 500.0, current_distance_m: 421.0]>
2023-01-13T10:18:33.838118+0100	| DEBUG	| run_mission.py:monitor_distance:164 	- Distance from sensor: DistanceSensor: [minimum_distance_m: 1.0, maximum_distance_m: 500.0, current_distance_m: 421.0]>
2023-01-13T10:18:34.711463+0100	| DEBUG	| run_mission.py:monitor_distance:164 	- Distance from sensor: DistanceSensor: [minimum_distance_m: 1.0, maximum_distance_m: 500.0, current_distance_m: 421.0]>
2023-01-13T10:18:35.089283+0100	| DEBUG	| run_mission.py:monitor_distance:164 	- Distance from sensor: DistanceSensor: [minimum_distance_m: 1.0, maximum_distance_m: 500.0, current_distance_m: 421.0]>
2023-01-13T10:18:35.243959+0100	| DEBUG	| run_mission.py:do_mast_recognition:209 	- Mast recognition disabled while returning or taking off.>
2023-01-13T10:18:35.366189+0100	| DEBUG	| run_mission.py:monitor_distance:164 	- Distance from sensor: DistanceSensor: [minimum_distance_m: 1.0, maximum_distance_m: 500.0, current_distance_m: 419.0]>
